Query,Clicks,Impressions,CTR,Position
vedantu,71926,167855,42.85%,1.01
ncert solutions for class 9 maths,30908,92412,33.45%,1.1
ncert solutions,24407,110659,22.06%,1.08
ncert solutions for class 10 maths,24313,72265,33.64%,1.01
ncert solutions for class 8 maths,14704,65852,22.33%,1.01
maths ncert solutions class 9,11363,29329,38.74%,1.07
class 11 maths ncert solutions,10753,27207,39.52%,1.01
ncert solutions for class 11 maths,10380,25991,39.94%,1.03
ncert solutions for class 7 maths,9625,31515,30.54%,1.05
maths ncert solutions class 11,9261,23582,39.27%,1
class 10 maths ncert solutions,9008,24395,36.93%,1.01
maths ncert solutions class 10,8255,27105,30.46%,1.01
ncert solution,8174,53229,15.36%,1.41
ncert solutions class 9 maths,8156,18983,42.96%,1.06
ncert solutions class 10 maths,8120,22195,36.58%,1.02
rs aggarwal class 8,7247,23160,31.29%,1.1
class 10 maths,7015,40076,17.5%,1.83
rs aggarwal solutions class 7,6880,24242,28.38%,1.14
class 9 maths,6801,35829,18.98%,1.83
rs aggarwal solutions class 8,6522,22100,29.51%,1.16
maths ncert solutions class 8,6351,18368,34.58%,1.01
ncert class 9 maths,6299,17475,36.05%,1.04
jee main 2020 question paper,6153,22168,27.76%,1.44
class 9 maths ncert solutions,6068,15609,38.88%,1.08
ncert solutions class 11 maths,5790,13514,42.84%,1.01
ncert maths class 9,5689,14811,38.41%,1.25
class 12 maths ncert solutions,5685,17898,31.76%,1.02
ncert solutions for class 9 science,5451,36726,14.84%,2.82
vedantu login,5376,7571,71.01%,1
maths ncert solutions class 12,5339,15437,34.59%,1.01
neet 2019 question paper,5313,9829,54.05%,1.01
jee mains 2020 question paper,5303,15089,35.14%,1.47
ncert class 9 maths solutions,5218,12794,40.78%,1.1
ncert class 10 maths,4985,14159,35.21%,1
class 8 maths,4965,24910,19.93%,1.26
hc verma solutions,4893,9143,53.52%,1.03
ncert solutions for class 6 maths,4879,15488,31.5%,1.05
ncert maths class 8,4769,14249,33.47%,1.11
ncert maths class 10,4465,12509,35.69%,1
ncert solutions for class 8 science,4457,38082,11.7%,2.72
ncert solutions class 12 maths,4372,12594,34.71%,1.02
maths ncert solutions class 7,4225,11407,37.04%,1.01
ncert solutions for class 12 maths,4200,14598,28.77%,1.04
mode formula,3959,30296,13.07%,1.12
neet 2019 paper,3939,6221,63.32%,1.01
trigonometry table,3915,85439,4.58%,1.15
rs aggarwal class 7,3822,18545,20.61%,1.12
ncert maths solution class 9,3697,9138,40.46%,1.01
ncert maths class 7,3637,11097,32.77%,1.02
ncert solutions class 10,3626,11331,32%,1.01
ncert solutions for class 9,3570,17479,20.42%,1.8
ncert class 8 maths,3484,12828,27.16%,1.11
hcv solutions,3438,5859,58.68%,1
maths class 10,3433,14838,23.14%,1.03
class 10 maths solution,3409,10411,32.74%,1.02
class 11 maths,3383,14371,23.54%,1.01
ncert maths solution class 10,3374,8962,37.65%,1.01
ncert class 10 maths solutions,3345,9861,33.92%,1.01
